	2theta	BCC_112	2theta	BCC_200	2theta	BCC_220	2theta	BCC_110/FCC_111	2theta	FCC_200	2theta	FCC_222	2theta	FCC_311
119.00000	79.27106	00.00000	63.07106	00.00000	94.07106	00.00000	43.67106	00.00000	49.87106	00.00000	91.07106	00.00000	86.67106	00.00000
120.00000	79.26280	00.00000	63.06280	00.00000	94.06280	00.00000	43.66280	00.00000	49.86280	00.00000	91.06280	00.00000	86.66280	00.00000
121.00000	79.25454	00.00000	63.05454	00.00000	94.05454	00.00000	43.65454	00.00000	49.85454	00.00000	91.05454	00.00000	86.65454	00.00000
122.00000	79.24628	00.00000	63.04628	00.00000	94.04628	00.00000	43.64628	00.00000	49.84628	00.00000	91.04628	00.00000	86.64628	00.00000
123.00000	79.23802	00.00000	63.03802	00.00000	94.03802	00.00000	43.63802	00.00000	49.83802	00.00000	91.03802	00.00000	86.63802	00.00000
124.00000	79.22976	00.00000	63.02976	00.00000	94.02976	00.00000	43.62976	00.00000	49.82976	00.00000	91.02976	00.00000	86.62976	00.00000
125.00000	79.22150	00.00000	63.02150	00.00000	94.02150	00.00000	43.62150	00.00000	49.82150	00.00000	91.02150	00.00000	86.62150	00.00000
126.00000	79.21324	00.00000	63.01324	00.00000	94.01324	00.00000	43.61324	00.00000	49.81324	00.00000	91.01324	00.00000	86.61324	00.00000
127.00000	79.20498	00.00000	63.00498	00.00000	94.00498	00.00000	43.60498	00.00000	49.80498	00.00000	91.00498	00.00000	86.60498	00.00000
128.00000	79.19672	00.00000	62.99672	00.00000	93.99672	00.00000	43.59672	00.00000	49.79672	00.00000	90.99672	00.00000	86.59672	00.00000
129.00000	79.18846	00.00000	62.98846	00.00000	93.98846	00.00000	43.58846	00.00000	49.78846	00.00000	90.98846	00.00000	86.58846	00.00000
130.00000	79.18020	00.00000	62.98020	00.00000	93.98020	00.00000	43.58020	00.00000	49.78020	00.00000	90.98020	00.00000	86.58020	00.00000
131.00000	79.17194	00.00000	62.97194	00.00000	93.97194	00.00000	43.57194	00.00000	49.77194	00.00000	90.97194	00.00000	86.57194	00.00000
132.00000	79.16368	00.00000	62.96368	00.00000	93.96368	00.00000	43.56368	00.00000	49.76368	00.00000	90.96368	00.00000	86.56368	00.00000
133.00000	79.15542	00.00000	62.95542	00.00000	93.95542	00.00000	43.55542	00.00000	49.75542	00.00000	90.95542	00.00000	86.55542	00.00000
134.00000	79.14716	00.00000	62.94716	00.00000	93.94716	00.00000	43.54716	00.00000	49.74716	00.00000	90.94716	00.00000	86.54716	00.00000
135.00000	79.13890	00.00000	62.93890	00.00000	93.93890	00.00000	43.53890	00.00000	49.73890	00.00000	90.93890	00.00000	86.53890	00.00000
